Product_ID,Product_Name,Serial_Number,Supplier,Weight_Quantity,Packaging_Type,Units_Per_Carton
product_1,4 GALLON TRASH CLASSIC BAG,1,Amal Trading,N/A,NON-CTN,N/A
product_2,7 DAYS CROISSANT 35GM,2,Amal Trading,35G,NON-CTN,N/A
product_3,7 UP 12*1 LTR,3,Amal Trading,1000G,CTN,12
product_4,7 UP 150 ML X 30,4,Amal Trading,150G,CTN,30
product_5,7 UP 6*2.5L FAMILY CTN,5,Amal Trading,2500G,CTN,6
product_6,717 BASMATI RICE 39 KG BAG,6,Amal Trading,39000G,NON-CTN,N/A
product_7,7UP 6*2.25 Ltr CTN FAMILY,7,Amal Trading,2250G,CTN,6
product_8,7UP 12X1.5 LTR,8,Amal Trading,1500G,NON-CTN,12
product_9,7UP 24*330ML,9,Amal Trading,330G,CTN,24
product_10,7UP CAN 30*155 ML,10,Amal Trading,155G,CTN,30
product_11,7UP CAN 30*250 ML,11,Amal Trading,250G,CTN,30
product_12,7UP CAN 330ML,12,Amal Trading,330G,NON-CTN,N/A
product_13,7UP DIET CAN 24*330ML CTN,13,Amal Trading,330G,CTN,24
product_14,7UP DIET CAN 330ML,14,Amal Trading,330G,NON-CTN,N/A
product_15,7UP ICE 24*355ML CTN,15,Amal Trading,355G,CTN,24
product_16,A/G BALSAMIC DRESSING 473 ML,16,Amal Trading,473G,NON-CTN,N/A
product_17,A/G MARASCHINO RED CHERRIES 10 OZ,17,Amal Trading,N/A,NON-CTN,N/A
product_18,A/G SWEET RELISH 12*16 OZ,18,Amal Trading,N/A,CTN,12
product_19,A/G TRADITIONAL PASTA SAUCE 12x14 OZ,19,Amal Trading,N/A,CTN,12
product_20,A/G TRADITIONAL PASTA SAUCE 14 OZ,20,Amal Trading,N/A,NON-CTN,N/A
product_21,A4 PAPER CTN,21,Amal Trading,N/A,CTN,N/A
product_22,A4 PAPER 80 GSM,22,Amal Trading,N/A,CTN,N/A
product_23,A5 PAPER 500 PCS,23,Amal Trading,N/A,NON-CTN,500
product_24,AACHI IDLY CHILLY POWDER 160 GM PKT,24,Amal Trading,160G,NON-CTN,N/A
product_25,AASHMA XXL1121 INDIAN BASMATI RICE 38 KG BAG,25,Amal Trading,38000G,NON-CTN,N/A
product_26,ABAN SOAP LEMON 100GM,26,Amal Trading,100G,NON-CTN,N/A
product_27,ABBAS STEAM BASMATI RICE 1 KG,27,Amal Trading,1000G,NON-CTN,N/A
product_28,ABBAS STEAM BASMATI RICE 35 KG,28,Amal Trading,35000G,NON-CTN,N/A
product_29,ABU AZAAN GOLD BASMATI RICE 35 KG,29,Amal Trading,35000G,NON-CTN,N/A
product_30,ABU AZAAN ROYAL LONG GRAIN RICE 35 KG BAG,30,Amal Trading,35000G,NON-CTN,N/A
product_31,ACAI ICE CREAM SPT 420 ML,31,Amal Trading,420G,NON-CTN,N/A
product_32,ACQUA LIGHT FLUID 80*100PCS,32,Amal Trading,N/A,CTN,100
product_33,ACQUA PANNA WATER 12*750 ML CTN,33,Amal Trading,750G,CTN,12
product_34,ACQUA PANNA WATER 24*250 ML CTN,34,Amal Trading,250G,CTN,24
product_35,ACQUA PANNA WATER 24X500 ML CTN,35,Amal Trading,500G,CTN,24
product_36,ACQUA PANNA WATER 24X500 ML( GLASS BTL) CTN,36,Amal Trading,500G,CTN,24
product_37,ACRYLIC WATER CUP 12 OZ,37,Amal Trading,N/A,CTN,N/A
product_38,ADAPTOR 9 V,38,Amal Trading,N/A,NON-CTN,N/A
product_39,ADMORE PEST KILLLER MECHINE,39,Amal Trading,N/A,NON-CTN,N/A
product_40,AFGHAN ATTA 50 KG,40,Amal Trading,50000G,NON-CTN,N/A
product_41,AFGHAN MAIDA 50 KG,41,Amal Trading,50000G,NON-CTN,N/A
product_42,AHLAN BOTTLE (1.5 ML*12),42,Amal Trading,1.5G,CTN,12
product_43,AHLAN BOTTLE 500 ML (1*24),43,Amal Trading,500G,CTN,24
product_44,AHMAD ENGLISH BREAKFAST TEA PKT,44,Amal Trading,N/A,NON-CTN,N/A
product_45,AHMED BIRIYANI MASALA 60GM,45,Amal Trading,60G,NON-CTN,N/A
product_46,AHMED KORMA CURRY MASALA 50GM,46,Amal Trading,50G,NON-CTN,N/A
product_47,AHMED MIX PICKLE 1KG,47,Amal Trading,1000G,NON-CTN,N/A
product_48,AHMED PICKLE 330gm,48,Amal Trading,330G,NON-CTN,N/A
