SL NO,Item Name,Quantity,Unit
1,4 GALLON TRASH CLASSIC BAG,0,PKT
2,7 DAYS CROISSANT 35GM,5,PKT
3,7 UP 12*1 LTR,0,CTN
4,7 UP 150 ML X 30,0,CTN
5,7 UP 6*2.5L FAMILY CTN,0,CTN
6,717 BASMATI RICE 39 KG BAG,3,BAG
7,7UP 6*2.25 Ltr CTN FAMILY,0,CTN
8,7UP 12X1.5 LTR,0,BTL
9,7UP 24*330ML,8,CTN
10,7UP CAN 30*155 ML,0,CTN
11,7UP CAN 30*250 ML,2,CTN
12,7UP CAN 330ML,0,BTL
13,7UP DIET CAN 24*330ML CTN,0,CTN
14,7UP DIET CAN 330ML,0,BTL
15,7UP ICE 24*355ML CTN,0,CTN
16,A/G BALSAMIC DRESSING 473 ML,0,BTL
17,A/G MARASCHINO RED CHERRIES 10 OZ,0,PCS
18,A/G SWEET RELISH 12*16 OZ,0,CTN
19,A/G TRADITIONAL PASTA SAUCE 12x14 OZ,0,CTN
20,A/G TRADITIONAL PASTA SAUCE 14 OZ,0,PCS
21,A4 PAPER CTN,0,CTN
22,A4 PAPER 80 GSM,0,CTN
23,A5 PAPER 500 PCS,0,PKT
24,AACHI IDLY CHILLY POWDER 160 GM PKT,0,PKT
25,AASHMA XXL1121 INDIAN BASMATI RICE 38 KG BAG,-2,BAG
26,ABAN SOAP LEMON 100GM,400,PCS
27,ABBAS STEAM BASMATI RICE 1 KG,"1,018.76",KG
28,ABBAS STEAM BASMATI RICE 35 KG,29.1073,BAG
29,ABU AZAAN GOLD BASMATI RICE 35 KG,3,BAG
30,ABU AZAAN ROYAL LONG GRAIN RICE 35 KG BAG,0.328,BAG
31,ACAI ICE CREAM SPT 420 ML,0,PCS
32,ACQUA LIGHT FLUID 80*100PCS,0,CTN
33,ACQUA PANNA WATER 12*750 ML CTN,3,CTN
34,ACQUA PANNA WATER 24*250 ML CTN,0,CTN
35,ACQUA PANNA WATER 24X500 ML CTN,0,CTN
36,ACQUA PANNA WATER 24X500 ML( GLASS BTL) CTN,0,CTN
37,ACRYLIC WATER CUP 12 OZ,0,CTN
38,ADAPTOR 9 V,0,PCS
39,ADMORE PEST KILLLER MECHINE,0,PCS
40,AFGHAN ATTA 50 KG,11,BAG
41,AFGHAN MAIDA 50 KG,86,BAG
42,AHLAN BOTTLE (1.5 ML*12),0,CTN
43,AHLAN BOTTLE 500 ML (1*24),0,CTN
44,AHMAD ENGLISH BREAKFAST TEA PKT,0,PKT
45,AHMED BIRIYANI MASALA 60GM,0,PKT
46,AHMED KORMA CURRY MASALA 50GM,0,PKT
47,AHMED MIX PICKLE 1KG,0,CAN
48,AHMED PICKLE 330gm,0,PCS
49,AIR FRESHNER 330ML CONCORD,0,PCS
50,AIR FRESHNER AIR WICK,0,PCS
51,AIR FRESHNER GLADE,0,PCS
52,AIR FRESHNER OUD,20,PCS
53,AIR WICK DISPENSOR & REFILL,0,PKT
54,AIR WICK REFILL 250ML,0,BTL
55,AIRPORT MOP 60CM,0,PCS
56,AIRPORT MOP 80 CM,0,PCS
57,AJINO MOTO 40*400GM CTN,1.845,CTN
58,AJINO MOTO 400GM PKT,73.8,PKT
59,AJINO MOTO AJ 40*400 GM CTN,6.61,CTN
60,AJINO MOTO DAILY FRESH 24*454GM,0,CTN
61,AJINO MOTO DAILY FRESH 454 GM,0,PKT
62,AJINO MOTO MALASIA 454GM PKT,"4,168.00",PKT
63,AJINO MOTO MALASIA 454GM PKTx 40,104.2,CTN
64,AJINO MOTO MALASIA HK 500 GM PKT,0,PCS
65,AJWAN SEED KG,30.15,KG
66,AKAVI CHEESE 18 KG TIN,0,TIN
67,AKAWI CHEESE FRESH,0,PKT
