Serial_Number,Product_Name,Weight_Quantity,Units_Per_Carton,Packaging_Type
5398,PRIME CHICKEN TENDER BREAST 1KG X10,1KG,10,
5399,AL KABEER CHICKEN TENDER BREAST 2.5KGX 4,2.5KG,,
5402,PRIME CHICKEN BURGER 1KG X10,1KG,10,
5403,PRIME BEEF BUGER 1KG X10,1KG,10,
5405,AL AREESH CHICKEN TANDOORI TIKKA 1KG X10,1KG,10,
5407,AL KABEER FRENCH FRIES 2.5KGX 4,2.5KG,,
5408,BATO FRENCH FRIES 900G X 10,900G,,
5410,CASPER FROZEN GREEN PEAS 400GX20,400G,20,
5413,DELTA FROZEN SPINACH CHOPPED 400GX20,400G,20,
5414,DELTA FROZEN MOLOKIA 400GX20,400G,20,
5415,AL ISLAMI CHICKEN SAUSAGE 340GX24,340G,24,
5381,KWALITY MALAI PANEER CUBES 1KG,1KG,,
5382,AGRO PEAK CHICKEN FRANKS 340G,340G,,
5383,DOUX 10 CHICKEN FRANKS ORIGINAL 400G,400G,,
5384,ARCTIC GOLD PEELED SHRIMPS 1KG,1KG,,
5385,BATO POTATO FRENCH FRIES 2.5KG,2.5KG,,
5386,AL AREESH FALAFEL 1KG,1KG,,
5387,AL AREESH CHCKEN SHEESH KABAB 62G,62G,,
5388,AL AREESH ZING CHICKEN FANTASY ESCALOPE 1KG,1KG,,
5389,PRIME CHICKEN ZING STRIPS SPICY 750G,750G,,
5390,AL AREESH CHICKEN NUGGETS 1KG,1KG,,
5391,TRUE DELTA OKRA ZERO 400G,400G,,
5392,DESI & FRESH MALAI PANEER CUBES 1KG,1KG,,
5393,DESI & FRESH MALAI PANEER CUBES 200G,200G,,
5394,MAHRA FROZEN MINCED MOLOKHIA 400G,400G,,
5395,AL AREESH CHICKEN SHEESH TAWOOK 1KG,1KG,,
5396,AL AREESH CHICKEN TASTY BURGER 4 X 18 X 56G,56G,18,
5397,ARCTIC GOLD BREADED CHICKEN FILLET 1KG,1KG,,
